Timestamp,Amsterdam,Athens,Barcelona,Berlin,Budapest,Lisbon,London,Paris,Rome,Vienna
1995-01-01,3.1111111111111116,17.555555555555557,10.444444444444443,-4.666666666666666,1.6111111111111103,11.944444444444445,1.2222222222222239,2.999999999999999,14.611111111111109,2.055555555555557
1995-01-02,3.6666666666666674,17.555555555555557,6.944444444444445,-4.666666666666666,1.6111111111111103,8.277777777777777,0.3333333333333341,1.7777777777777792,8.055555555555555,1.5000000000000016
1995-01-03,0.7222222222222207,12.5,5.0,-4.666666666666666,-1.6666666666666665,7.666666666666665,-0.6111111111111119,2.2222222222222223,5.333333333333334,-0.3333333333333341
1995-01-04,-1.5555555555555558,10.499999999999998,4.000000000000002,-4.666666666666666,-2.2222222222222223,11.833333333333332,3.1666666666666683,-0.7222222222222227,4.388888888888888,-3.777777777777778
1995-01-05,-3.4444444444444438,11.222222222222223,4.333333333333331,-3.455555555555555,-0.5555555555555556,13.444444444444446,4.166666666666667,-2.7777777777777777,2.7777777777777777,-5.0
1995-01-06,-2.7222222222222214,12.5,7.333333333333335,-2.244444444444444,-2.333333333333333,13.555555555555554,4.61111111111111,0.9999999999999984,3.1666666666666683,-3.9999999999999996
1995-01-07,-0.8888888888888896,11.166666666666668,7.111111111111109,-1.0333333333333332,-1.2777777777777781,11.444444444444445,3.888888888888889,3.277777777777777,3.5555555555555545,-2.8888888888888884
1995-01-08,0.8888888888888896,11.222222222222223,5.777777777777777,0.17777777777777803,-2.2777777777777786,10.999999999999998,7.833333333333334,3.4999999999999982,4.000000000000002,-2.6111111111111107
1995-01-09,5.777777777777777,10.999999999999998,10.111111111111112,1.3888888888888888,-2.7777777777777777,12.555555555555555,6.111111111111111,5.555555555555555,2.7777777777777777,-3.277777777777777
1995-01-10,5.499999999999999,9.11111111111111,10.611111111111112,4.000000000000002,-2.1111111111111116,11.055555555555555,9.5,9.000000000000002,3.333333333333333,1.722222222222223
1995-01-11,3.7222222222222237,10.277777777777777,13.22222222222222,2.000000000000001,-0.3333333333333341,11.500000000000002,4.055555555555554,5.1111111111111125,7.88888888888889,0.38888888888889045
1995-01-12,3.7222222222222237,12.944444444444443,10.444444444444443,0.0,-0.11111111111111072,13.444444444444446,2.4444444444444438,3.3888888888888897,5.888888888888889,0.6666666666666682
1995-01-13,3.888888888888889,8.61111111111111,8.722222222222223,-2.000000000000001,-0.4999999999999992,10.72222222222222,4.500000000000001,4.444444444444445,3.5555555555555545,-0.2777777777777778
1995-01-14,6.500000000000002,6.944444444444445,5.7222222222222205,0.7592592592592582,-4.944444444444444,9.222222222222223,8.38888888888889,6.444444444444445,3.444444444444446,-2.8888888888888884
1995-01-15,7.944444444444443,5.888888888888889,5.999999999999998,3.5185185185185173,-7.722222222222221,8.38888888888889,9.611111111111109,6.444444444444445,3.6666666666666674,-1.2777777777777781
1995-01-16,4.722222222222222,5.277777777777778,7.777777777777778,6.277777777777776,-4.777777777777779,9.222222222222223,8.499999999999998,2.666666666666665,3.5555555555555545,-1.0000000000000004
1995-01-17,5.277777777777778,4.722222222222222,12.722222222222221,3.944444444444443,-7.166666666666666,15.222222222222221,8.88888888888889,7.88888888888889,3.0555555555555554,-2.2222222222222223
1995-01-18,6.444444444444445,5.888888888888889,12.444444444444443,1.6111111111111103,-9.722222222222221,12.166666666666666,5.499999999999999,5.833333333333333,6.722222222222223,-4.277777777777778
1995-01-19,4.61111111111111,9.611111111111109,10.055555555555555,4.000000000000002,-6.444444444444445,12.111111111111109,5.833333333333333,6.0555555555555545,11.333333333333332,-5.111111111111111
1995-01-20,7.999999999999999,10.222222222222221,9.833333333333334,4.200000000000001,-4.333333333333334,12.333333333333334,7.222222222222222,8.666666666666668,6.277777777777776,-3.888888888888889
1995-01-21,5.666666666666668,7.222222222222222,9.11111111111111,4.400000000000001,-4.611111111111112,10.999999999999998,6.722222222222223,6.444444444444445,8.777777777777777,-3.944444444444445
1995-01-22,6.722222222222223,7.5,13.055555555555555,4.6000000000000005,-3.166666666666666,13.944444444444445,5.888888888888889,12.722222222222221,7.88888888888889,-2.000000000000001
1995-01-23,6.61111111111111,10.499999999999998,15.38888888888889,4.800000000000001,1.555555555555554,15.666666666666668,5.611111111111112,7.88888888888889,11.944444444444445,1.2777777777777761
1995-01-24,6.333333333333332,13.555555555555554,13.444444444444446,5.0,3.3888888888888897,15.833333333333332,6.166666666666667,6.555555555555554,13.944444444444445,4.777777777777779
1995-01-25,5.0,13.22222222222222,14.388888888888888,4.000000000000002,1.6111111111111103,14.888888888888888,7.666666666666665,13.777777777777775,11.666666666666666,3.7222222222222237
1995-01-26,8.055555555555555,12.611111111111112,14.833333333333334,4.138888888888891,8.777777777777777,14.611111111111109,6.388888888888888,8.38888888888889,13.777777777777775,11.222222222222223
1995-01-27,2.999999999999999,13.777777777777775,11.444444444444445,4.2777777777777795,4.944444444444444,12.722222222222221,4.11111111111111,4.000000000000002,12.055555555555557,4.444444444444445
1995-01-28,8.444444444444446,10.88888888888889,12.722222222222221,3.51851851851852,1.7777777777777792,15.055555555555555,8.777777777777777,10.611111111111112,10.111111111111112,1.2777777777777761
1995-01-29,7.777777777777778,9.888888888888888,12.222222222222221,2.7592592592592604,4.722222222222222,16.11111111111111,9.388888888888888,10.777777777777777,12.944444444444443,5.999999999999998
1995-01-30,3.3888888888888897,11.722222222222223,14.777777777777779,2.000000000000001,5.277777777777778,15.666666666666668,4.333333333333331,5.9444444444444455,12.111111111111109,5.833333333333333
